"日期","收盘","开盘","高","低","交易量","涨跌幅"
"2018年1月17日","17.105","17.095","17.120","16.970","0.09K","-0.10%"
"2018年1月16日","17.122","17.305","17.325","17.305","0.00K","-1.48%"
"2018年1月15日","17.380","17.240","17.445","17.225","-","0.78%"
"2018年1月14日","17.245","17.240","17.270","17.225","-","1.03%"
"2018年1月12日","17.069","16.925","17.120","16.920","0.05K","1.04%"
"2018年1月11日","16.894","16.955","16.965","16.905","0.04K","-4.03%"
"2018年1月10日","17.603","17.555","17.555","17.555","0.00K","3.94%"
"2018年1月9日","16.936","16.945","16.945","16.945","0.01K","-0.75%"
"2018年1月8日","17.064","17.064","17.064","17.064","-","-1.19%"
"2018年1月7日","17.270","17.280","17.285","17.270","-","0.38%"
"2018年1月5日","17.205","17.205","17.205","17.205","0.00K","0.09%"
"2018年1月4日","17.189","17.085","17.230","17.085","0.03K","0.02%"
"2018年1月3日","17.185","17.080","17.160","17.080","0.00K","0.37%"
"2018年1月2日","17.121","17.155","17.160","17.125","0.03K","0.30%"
"2018年1月1日","17.070","17.025","17.085","17.020","-","0.06%"
"2017年12月29日","17.060","16.920","17.045","16.920","0.02K","1.35%"
"2017年12月28日","16.832","16.650","16.820","16.650","0.21K","1.28%"
"2017年12月27日","16.619","16.595","16.625","16.580","0.09K","0.60%"
"2017年12月26日","16.520","16.480","16.480","16.480","0.06K","0.79%"
"2017年12月25日","16.390","16.435","16.435","16.365","-","0.20%"
"2017年12月22日","16.357","16.140","16.320","16.140","0.19K","1.27%"
"2017年12月21日","16.152","16.095","16.120","16.095","0.05K","-0.22%"
"2017年12月20日","16.188","16.095","16.175","16.095","0.02K","0.76%"
"2017年12月19日","16.066","16.160","16.160","16.080","0.02K","-0.33%"
"2017年12月18日","16.120","15.980","16.075","15.980","0.05K","0.31%"
"2017年12月17日","16.070","16.075","16.090","16.060","-","0.58%"
"2017年12月15日","15.978","16.010","16.010","15.955","0.37K","0.81%"
"2017年12月14日","15.850","16.000","16.000","15.800","0.03K","0.42%"
"2017年12月13日","15.784","15.640","15.995","15.620","0.19K","1.30%"
"2017年12月12日","15.582","15.665","15.700","15.555","0.20K","-0.73%"
"2017年12月11日","15.697","15.775","15.800","15.625","0.08K","-1.06%"
